title,similarity_mean,similarity_std
-8sBpe7rDiV,tensor(10.4991),tensor(1.5548)
-AOEi-5VTU8,tensor(8.5479),tensor(nan)
-e4EXDWXnSn,tensor(9.6338),tensor(1.5999)
-Gk_IPJWvk,tensor(10.1146),tensor(1.8763)
-HSOjDPfhBJ,tensor(9.7968),tensor(1.3587)
-ngwPqanCEZ,tensor(10.1333),tensor(1.7398)
-TSe5o7STVR,tensor(9.6475),tensor(1.6062)
-w2oomO6qgc,tensor(10.2419),tensor(1.9181)
03RLpj-tc_,tensor(10.3158),tensor(1.4893)
06Wy2BtxXrz,tensor(9.8072),tensor(1.7260)
085y6YPaYjP,tensor(10.1725),tensor(1.5487)
0cgU-BZp2ky,tensor(9.9472),tensor(2.0062)
0DcZxeWfOPt,tensor(10.4064),tensor(1.7365)
0DLwqQLmqV,tensor(9.8119),tensor(1.5999)
0jP2n0YFmKG,tensor(10.5686),tensor(1.5652)
0JzqUlIVVDd,tensor(10.2757),tensor(1.8037)
0kPL3xO4R5,tensor(9.8379),tensor(1.4053)
0no8Motr-zO,tensor(10.5569),tensor(1.7746)
0rcbOaoBXbg,tensor(10.0607),tensor(1.4505)
0RqDp8FCW5Z,tensor(9.9087),tensor(1.2689)
0sgntlpKDOz,tensor(10.0482),tensor(1.3221)
0UXT6PpRpW,tensor(9.8622),tensor(1.7776)
12RoR2o32T,tensor(10.0381),tensor(1.6574)
14F3fI6MGxX,tensor(10.8181),tensor(1.8179)
18Ys0-PzyPI,tensor(9.6823),tensor(1.9623)
1NUsBU-7HAL,tensor(10.5040),tensor(2.0350)
1NvflqAdoom,tensor(9.9248),tensor(1.7030)
1ugNpm7W6E,tensor(10.8399),tensor(2.1239)
1W0z96MFEoH,tensor(9.6083),tensor(1.7013)
1wVvweK3oIb,tensor(10.1843),tensor(1.8414)
1zwleytEpYx,tensor(10.2544),tensor(1.5694)
2-mkiUs9Jx7,tensor(10.1102),tensor(1.9251)
25kzAhUB1lz,tensor(10.1671),tensor(1.9461)
28ib9tf6zhr,tensor(10.6672),tensor(2.0067)
2bO2x8NAIMB,tensor(10.5832),tensor(1.9025)
2f1z55GVQN,tensor(10.6904),tensor(2.0809)
2ggNjUisGyr,tensor(10.7340),tensor(1.9243)
2sDQwC_hmnM,tensor(9.8018),tensor(1.9314)
2t7CkQXNpuq,tensor(9.6397),tensor(1.4562)
31d5RLCUuXC,tensor(10.3510),tensor(1.7341)
3eIrli0TwQ,tensor(10.5216),tensor(1.7129)
3HJOA-1hb0e,tensor(10.5343),tensor(1.9443)
3ILxkQ7yElm,tensor(9.9567),tensor(1.7814)
3jooF27-0Wy,tensor(9.6639),tensor(1.4475)
3Pbra-_u76D,tensor(9.7073),tensor(1.6831)
3PN4iyXBeF,tensor(10.2522),tensor(1.6809)
3pugbNqOh5m,tensor(10.4175),tensor(1.6785)
3rULBvOJ8D2,tensor(9.9478),tensor(1.6816)
3tbDrs77LJ5,tensor(10.0168),tensor(1.5425)
3wNcr5nq56,tensor(9.8422),tensor(1.6170)
3YqeuCVwy1d,tensor(10.9805),tensor(1.7043)
48RBsJwGkJf,tensor(10.4859),tensor(2.1676)
49h_IkpJtaE,tensor(10.1159),tensor(1.7437)
4C93Qvn-tz,tensor(10.3707),tensor(1.5805)
4Muj-t_4o4,tensor(9.1086),tensor(1.3303)
4N-17dske79,tensor(10.7074),tensor(1.6298)
4p6_5HBWPCw,tensor(9.6217),tensor(1.3496)
4rLw09TgRw9,tensor(10.2945),tensor(1.9378)
4Ycr8oeCoIh,tensor(9.9076),tensor(1.6336)
5-2mX9_U5i,tensor(10.1464),tensor(1.8805)
541PxiEKN3F,tensor(9.8478),tensor(1.6397)
5ECQL05ub0J,tensor(11.0561),tensor(2.0056)
5HvpvYd68b,tensor(10.8382),tensor(1.7085)
5i2f-aR6B8H,tensor(10.0159),tensor(1.8792)
5i7lJLuhTm,tensor(9.8117),tensor(1.7202)
5JdLZg346Lw,tensor(10.3781),tensor(1.9671)
5K7RRqZEjoS,tensor(10.1742),tensor(1.5455)
5kq11Tl1z4,tensor(9.3717),tensor(1.5995)
5MLb3cLCJY,tensor(10.2699),tensor(1.6554)
5QhUE1qiVC6,tensor(10.9607),tensor(2.2362)
5Qkd7-bZfI,tensor(9.8445),tensor(1.5694)
5xEgrl_5FAJ,tensor(10.8993),tensor(2.0807)
5XmLzdslFNN,tensor(10.3348),tensor(2.1666)
64trBbOhdGU,tensor(10.3304),tensor(1.5930)
68n2s9ZJWF8,tensor(9.8417),tensor(1.4116)
6ET9SzlgNX,tensor(10.2173),tensor(1.8560)
6HN7LHyzGgC,tensor(10.1736),tensor(1.5236)
6IYp-35L-xJ,tensor(9.8785),tensor(1.9575)
6kCiVaoQdx9,tensor(10.3521),tensor(1.5344)
6MmiS0HUJHR,tensor(10.1407),tensor(1.6212)
6NePxZwfae,tensor(10.4821),tensor(1.8604)
6Pe99Juo9gd,tensor(10.0563),tensor(2.4388)
6PvWo1kEvlT,tensor(9.8405),tensor(1.6991)
6Q52pZ-Th7N,tensor(10.1778),tensor(1.6711)
6q_2b6u0BnJ,tensor(10.3295),tensor(1.8634)
6sh3pIzKS-,tensor(10.3793),tensor(1.7370)
6tmjoym9LR6,tensor(10.5821),tensor(1.3858)
6u6N8WWwYSM,tensor(10.8852),tensor(2.2104)
6vkzF28Hur8,tensor(10.0809),tensor(1.4975)
6VpeS27viTq,tensor(9.2762),tensor(1.3937)
6XGgutacQ0B,tensor(11.5980),tensor(2.3151)
6y2KBh-0Fd9,tensor(10.7902),tensor(2.0346)
6YVIk0sAkF_,tensor(10.5082),tensor(1.9941)
6yVvwR9H9Oj,tensor(10.0632),tensor(1.6135)
73MEhZ0anV,tensor(10.8802),tensor(2.1054)
74x5BXs4bWD,tensor(11.1917),tensor(1.8830)
7B3IJMM1k_M,tensor(9.6714),tensor(1.6135)
7DI6op61AY,tensor(10.5322),tensor(1.4671)
7fFO4cMBx_9,tensor(9.9670),tensor(1.6121)
7gE9V9GBZaI,tensor(9.8593),tensor(1.8680)
7grkzyj89A_,tensor(11.2034),tensor(2.2401)
7I8LPkcx8V,tensor(9.9360),tensor(1.6409)
7inCJ3MhXt3,tensor(9.8685),tensor(1.5498)
7IWGzQ6gZ1D,tensor(9.9987),tensor(1.5681)
7KdAoOsI81C,tensor(10.2066),tensor(1.9577)
7MV6uLzOChW,tensor(9.9283),tensor(1.5544)
7QfLW-XZTl,tensor(11.0614),tensor(2.2165)
7r6kDq0mK_,tensor(10.3281),tensor(1.7524)
7TZeCsNOUB_,tensor(10.4147),tensor(2.0011)
7udZAsEzd60,tensor(10.7448),tensor(1.8382)
7_JR7WpwKV1,tensor(10.2416),tensor(1.6326)
81e1aeOt-sd,tensor(10.4177),tensor(1.5978)
84NMXTHYe-,tensor(9.9826),tensor(1.8638)
8eb12UQYxrG,tensor(9.6820),tensor(1.4437)
8FhxBtXSl0,tensor(10.2684),tensor(1.7548)
8hWs60AZcWk,tensor(10.0753),tensor(1.7829)
8in_5gN9I0,tensor(9.8437),tensor(1.8847)
8la28hZOwug,tensor(10.3849),tensor(1.8118)
8uz0EWPQIMu,tensor(9.8988),tensor(1.8983)
9-Rfew334N,tensor(10.3322),tensor(1.6551)
92tYQiil17,tensor(10.1655),tensor(1.5488)
9jInD9JjicF,tensor(10.4168),tensor(1.8096)
9jsZiUgkCZP,tensor(10.1748),tensor(1.7009)
9kpuB2bgnim,tensor(10.0815),tensor(1.2856)
9L1BsI4wP1H,tensor(10.0484),tensor(1.8803)
9n9c8sf0xm,tensor(10.9213),tensor(1.7548)
9Nk6AJkVYB,tensor(10.6639),tensor(1.7172)
9NVd-DMtThY,tensor(10.2119),tensor(1.9052)
9otKVlgrpZG,tensor(10.7312),tensor(1.7712)
9pEJSVfDbba,tensor(10.3820),tensor(1.8345)
9RUHPlladgh,tensor(10.6645),tensor(2.3647)
9SDQB3b68K,tensor(9.8213),tensor(1.7928)
9wOQOgNe-w,tensor(10.7129),tensor(2.0028)
9xhgmsNVHu,tensor(9.9328),tensor(1.6286)
9ZPegFuFTFv,tensor(10.1987),tensor(1.6736)
A05I5IvrdL-,tensor(11.1805),tensor(1.7864)
a34GrNaYEcS,tensor(11.1484),tensor(2.3008)
a7H7OucbWaU,tensor(9.7723),tensor(1.7581)
AAJLBoGt0XM,tensor(9.3185),tensor(1.3353)
aBO5SvgSt1,tensor(9.6805),tensor(1.1987)
aBsCjcPu_tE,tensor(9.8037),tensor(1.7087)
aBVxf5NaaRt,tensor(9.9146),tensor(1.6163)
aBXzcPPOuX,tensor(11.5059),tensor(2.6329)
AcrlgZ9BKed,tensor(10.3683),tensor(1.8303)
aD7uesX1GF_,tensor(9.8968),tensor(1.6187)
af1eUDdUVz,tensor(10.6053),tensor(2.4078)
afoV8W3-IYp,tensor(9.6665),tensor(1.9648)
ahi2XSHpAUZ,tensor(9.9639),tensor(1.4716)
AIgn9uwfcD1,tensor(9.0862),tensor(1.1428)
aisKPsMM3fg,tensor(10.2889),tensor(1.6639)
AjGC97Aofee,tensor(9.2244),tensor(1.4266)
AMpki9kp8Cn,tensor(10.4145),tensor(1.7049)
AmUhwTOHgm,tensor(10.4050),tensor(1.7542)
anbBFlX1tJ1,tensor(10.8810),tensor(1.8370)
aOX3a9q3RVV,tensor(10.6191),tensor(1.8769)
AP1MKT37rJ,tensor(10.1422),tensor(1.8644)
aPOpXlnV1T,tensor(10.9169),tensor(1.5751)
ar92oEosBIg,tensor(10.0947),tensor(1.7188)
ATUh28lnSuW,tensor(10.2858),tensor(1.5695)
aTzMi4yV_RO,tensor(10.8977),tensor(2.1457)
auOPcdAcoy,tensor(10.0385),tensor(1.7147)
AV8FPoMTTa,tensor(10.1759),tensor(1.7604)
AwgtcUAhBq,tensor(10.4870),tensor(1.9839)
AXWygMvuT6Q,tensor(11.1375),tensor(2.0246)
aYAA-XHKyk,tensor(10.2700),tensor(1.9672)
Az-7gJc6lpr,tensor(10.5311),tensor(2.2027)
Az7opqbQE-3,tensor(10.5595),tensor(2.2454)
Azh9QBQ4tR7,tensor(10.3674),tensor(1.7117)
B0oHOwT5ENL,tensor(10.2778),tensor(1.8385)
B3Nde6lvab,tensor(10.6528),tensor(1.8038)
B5XahNLmna,tensor(10.3516),tensor(1.7936)
B6EIcyp-Rb7,tensor(10.1937),tensor(1.6948)
B72HXs80q4,tensor(10.5637),tensor(1.9218)
B7ZbqNLDn-_,tensor(10.9236),tensor(1.9339)
B8DVo9B1YE0,tensor(10.6030),tensor(1.9181)
baUQQPwQiAg,tensor(10.3204),tensor(1.8142)
bCrdi4iVvv,tensor(10.3286),tensor(1.8473)
bfuGjlCwAq,tensor(9.8595),tensor(1.7354)
BGvt0ghNgA,tensor(9.9620),tensor(1.6336)
bjy5Zb2fo2,tensor(10.0749),tensor(1.7078)
BK-4qbGgIE3,tensor(10.1648),tensor(1.8235)
Bl8CQrx2Up4,tensor(10.3781),tensor(1.7239)
BmJV7kyAmg,tensor(10.2272),tensor(1.7981)
Bn09TnDngN,tensor(10.3726),tensor(1.8178)
boJy41J-tnQ,tensor(9.4395),tensor(1.4107)
bp-LJ4y_XC,tensor(11.0882),tensor(1.6399)
BrFIKuxrZE,tensor(10.3975),tensor(1.9592)
BRFWxcZfAdC,tensor(10.9315),tensor(1.9847)
BrPdX1bDZkQ,tensor(10.1175),tensor(1.3354)
bsycpMi00R1,tensor(10.5406),tensor(1.5251)
bTteFbU99ye,tensor(10.4433),tensor(2.0035)
bVvMOtLMiw,tensor(10.4571),tensor(1.8739)
BwPaPxwgyQb,tensor(9.9901),tensor(1.6743)
bwq6O4Cwdl,tensor(9.8432),tensor(2.2776)
bYGSzbCM_i,tensor(10.2695),tensor(1.9693)
bZJbzaj_IlP,tensor(10.1476),tensor(1.6535)
BZnnMbt0pW,tensor(9.5078),tensor(1.5332)
c-4HSDAWua5,tensor(10.2703),tensor(1.9856)
C03Ajc-NS5W,tensor(10.7220),tensor(1.8143)
C1_esHN6AVn,tensor(10.4583),tensor(1.9681)
C54V-xTWfi,tensor(9.7088),tensor(1.8037)
c87d0TS4yX,tensor(10.1118),tensor(2.1112)
C8Ltz08PtBp,tensor(10.5581),tensor(2.0650)
cBu4ElJfneV,tensor(10.1195),tensor(1.6967)
CCu6RcUMwK0,tensor(10.2035),tensor(1.7310)
cGDAkQo1C0p,tensor(9.9811),tensor(1.9164)
CgIEctmcXx1,tensor(10.0073),tensor(1.4672)
ChMLTGRjFcU,tensor(9.6751),tensor(1.2426)
CI-xXX9dg9l,tensor(9.8542),tensor(1.6967)
ci7LBzDn2Q,tensor(9.2422),tensor(1.7565)
CIaQKbTBwtU,tensor(10.5628),tensor(1.5547)
CJzi3dRlJE-,tensor(8.9535),tensor(2.1364)
ckZY7DGa7FQ,tensor(10.2947),tensor(1.7017)
CLpxpXqqBV,tensor(10.3448),tensor(1.9547)
CmsfC7u054S,tensor(9.9671),tensor(2.3462)
cOtBRgsf2fO,tensor(9.7273),tensor(1.9451)
cpDhcsEDC2,tensor(9.7408),tensor(1.6983)
CpTuR2ECuW,tensor(10.0335),tensor(1.6504)
CrCvGNHAIrz,tensor(10.2893),tensor(2.0271)
CS4463zx6Hi,tensor(10.7169),tensor(1.7461)
CSfcOznpDY,tensor(9.9331),tensor(1.3841)
cuvga_CiVND,tensor(9.3900),tensor(1.7749)
CVfLvQq9gLo,tensor(10.5444),tensor(1.9747)
cw-EmNq5zfD,tensor(10.9013),tensor(2.2569)
cZAi1yWpiXQ,tensor(10.4856),tensor(1.8946)
Czsdv-S4-w9,tensor(9.9774),tensor(1.7319)
C_vsGwEIjAr,tensor(9.7238),tensor(1.3978)
d2TT6gK9qZn,tensor(11.1269),tensor(2.2933)
d5SCUJ5t1k,tensor(9.5592),tensor(1.7150)
d71n4ftoCBy,tensor(9.6622),tensor(1.9418)
DBiQQYWykyy,tensor(9.9364),tensor(2.0423)
dDjSKKA5TP1,tensor(9.5978),tensor(1.6992)
dDo8druYppX,tensor(10.0092),tensor(1.6432)
DesNW4-5ai9,tensor(9.6739),tensor(1.3838)
DfUjyyRW90,tensor(9.8132),tensor(1.4510)
dg79moSRqIo,tensor(10.2101),tensor(1.8871)
DhP9L8vIyLc,tensor(9.9663),tensor(1.7526)
DhzIU48OcZh,tensor(10.0184),tensor(1.7031)
DnG75_KyHjX,tensor(10.9313),tensor(1.8580)
dNigytemkL,tensor(10.4066),tensor(1.3657)
dpXL6lz4mOQ,tensor(9.9386),tensor(2.0719)
dPyRNUlttBv,tensor(9.8695),tensor(1.7061)
dQ7Cy_ndl1s,tensor(9.7128),tensor(1.4263)
DrZXuTGg2A-,tensor(10.3295),tensor(1.6378)
ds8yZOUsea,tensor(9.9417),tensor(1.5445)
DSQHjibtgKR,tensor(9.9689),tensor(1.7010)
dSw0QtRMJkO,tensor(10.0295),tensor(1.4616)
dTqOcTUOQO,tensor(10.3389),tensor(2.2172)
DTXZqTNV5nW,tensor(10.5284),tensor(1.9343)
DXPftn5kjQK,tensor(9.7723),tensor(1.5916)
DYypjaRdph2,tensor(nan),tensor(nan)
Dzpe9C1mpiv,tensor(10.8364),tensor(1.9452)
dZPgfwaTaXv,tensor(10.6162),tensor(1.7070)
d_2lcDh0Y9c,tensor(10.5712),tensor(1.5211)
e0jtGTfPihs,tensor(10.1656),tensor(1.7346)
e2Lle5cij9D,tensor(10.9687),tensor(1.7189)
e42KbIw6Wb,tensor(10.1261),tensor(1.7541)
E4EE_ohFGz,tensor(10.0229),tensor(1.7224)
e95i1IHcWj,tensor(9.9925),tensor(1.4480)
eBCmOocUejf,tensor(10.2444),tensor(1.9317)
EBn0uInJZWh,tensor(8.9744),tensor(1.3003)
EcGGFkNTxdJ,tensor(10.2636),tensor(1.7544)
ecH2FKaARUp,tensor(9.5549),tensor(1.5771)
ECvgmYVyeUz,tensor(9.9115),tensor(1.4394)
edONMAnhLu-,tensor(10.3267),tensor(1.8401)
ef0nInZHKIC,tensor(10.2623),tensor(1.8043)
EHaUTlm2eHg,tensor(10.1807),tensor(1.9159)
ei3SY1_zYsE,tensor(11.0322),tensor(2.0005)
ek9a0qIafW,tensor(9.7010),tensor(1.8911)
EMigfE6ZeS,tensor(10.3155),tensor(2.0284)
EMxu-dzvJk,tensor(10.5726),tensor(1.9594)
EnwCZixjSh,tensor(10.1069),tensor(1.8330)
EQmAP4F859,tensor(10.0938),tensor(1.6313)
EVVadRFRgL7,tensor(10.3406),tensor(1.7970)
EwqEx5ipbOu,tensor(10.3926),tensor(1.8167)
EXHG-A3jlM,tensor(10.8441),tensor(1.8260)
eYciPrLuUhG,tensor(10.5248),tensor(1.8441)
EZNOb_uNpJk,tensor(10.5244),tensor(1.6342)
f2lrIbGx3x7,tensor(10.4108),tensor(1.7426)
f2OYVDyfIB,tensor(10.4039),tensor(2.0923)
F5Em8ASCosV,tensor(9.8616),tensor(1.2374)
F72ximsx7C1,tensor(9.9931),tensor(1.7445)
f9D-5WNG4Nv,tensor(9.1843),tensor(1.5041)
f9MHpAGUyMn,tensor(10.3295),tensor(2.1048)
fCG75wd39ze,tensor(10.0793),tensor(1.5120)
fCSq8yrDkc,tensor(10.1740),tensor(1.5203)
FEBFJ98FKx,tensor(11.2087),tensor(1.7970)
fExcSKdDo_,tensor(10.6104),tensor(1.8706)
figzpGMrdD,tensor(9.4864),tensor(1.8963)
FKp8-pIRo3y,tensor(10.4512),tensor(1.9777)
FlwzVjfMryn,tensor(10.2549),tensor(1.6689)
FmBegXJToY,tensor(9.6991),tensor(1.6863)
Fn7i_r5rR0q,tensor(10.7767),tensor(2.0829)
FndDxSz3LxQ,tensor(10.0140),tensor(2.0004)
fOsN52jn25l,tensor(10.2690),tensor(1.9596)
fPhKeld3Okz,tensor(10.6371),tensor(1.8719)
FQOC5u-1egI,tensor(10.0988),tensor(1.6868)
fQTlgI2qZqE,tensor(10.2139),tensor(1.8365)
fR-EnKWL_Zb,tensor(10.3381),tensor(1.5765)
fvLLcIYmXb,tensor(10.2551),tensor(1.9573)
fVu3o-YUGQK,tensor(9.9464),tensor(2.1225)
fwzUgo0FM9v,tensor(10.1833),tensor(1.9082)
fXHl76nO2AZ,tensor(10.0281),tensor(1.7836)
fy_XRVHqly,tensor(10.1145),tensor(1.6096)
Fza94Y8VS4a,tensor(10.8528),tensor(1.7443)
FZoZ7a31GCW,tensor(11.3567),tensor(2.0171)
g2LCQwG7Of,tensor(10.2594),tensor(1.9315)
g5tANwND04i,tensor(10.6303),tensor(2.2600)
G89-1yZLFHk,tensor(10.2361),tensor(1.8371)
gbe1zHyA73,tensor(10.3621),tensor(1.4567)
gFDFKC4gHL4,tensor(10.9390),tensor(1.8443)
gfwON7rAm4,tensor(10.6325),tensor(1.6454)
GhVS8_yPeEa,tensor(10.8874),tensor(1.9105)
gI7feJ9yXPz,tensor(10.3766),tensor(1.5933)
giBFoa-uS12,tensor(10.7048),tensor(1.7061)
gICys3ITSmj,tensor(10.2001),tensor(1.8912)
givsRXsOt9r,tensor(10.5983),tensor(1.7040)
gJcEM8sxHK,tensor(9.6596),tensor(1.8735)
gJLEXy3ySpu,tensor(10.0198),tensor(1.7097)
gjNcH0hj0LM,tensor(9.3567),tensor(1.8254)
gKLAAfiytI,tensor(10.6923),tensor(1.8033)
gNp54NxHUPJ,tensor(10.9326),tensor(1.7216)
gpp7cf0xdfN,tensor(9.9552),tensor(1.7137)
GQd7mXSPua,tensor(10.8670),tensor(1.8594)
gRCCdgpVZf,tensor(9.7537),tensor(1.3899)
gSdSJoenupI,tensor(10.2651),tensor(1.7927)
GsH-K1VIyy,tensor(9.7534),tensor(1.7064)
GugZ5DzzAu,tensor(10.0263),tensor(1.8007)
GUrhfTuf_3,tensor(9.8331),tensor(1.7779)
gVRhIEajG1k,tensor(10.3513),tensor(1.6614)
GWQWAeE9EpB,tensor(11.0703),tensor(1.7976)
H-iABMvzIc,tensor(10.2291),tensor(1.8368)
h0OYV0We3oh,tensor(10.2367),tensor(1.9425)
H4PmOqSZDY,tensor(10.5879),tensor(2.0568)
H7HDG--DJF0,tensor(10.7518),tensor(1.8444)
H94a1_Pyr-6,tensor(10.2430),tensor(1.9407)
Harn4_EZBw,tensor(10.3255),tensor(1.8316)
HBsJNesj2S,tensor(9.7266),tensor(1.6764)
HCelXXcSEuH,tensor(10.5415),tensor(2.5141)
hcMvApxGSzZ,tensor(9.9309),tensor(1.6057)
hcoswsDHNAW,tensor(10.3605),tensor(1.6608)
hcQHRHKfN_,tensor(10.6189),tensor(2.2264)
HCRVf71PMF,tensor(9.3364),tensor(1.5614)
HFPTzdwN39,tensor(10.1438),tensor(2.1155)
HfUyCRBeQc,tensor(10.3860),tensor(2.1041)
hgKtwSb4S2,tensor(10.7325),tensor(1.4204)
hGXij5rfiHw,tensor(10.3415),tensor(1.6596)
hjd-kcpDpf2,tensor(10.6146),tensor(1.7071)
hl9ePdHO4_s,tensor(9.6005),tensor(1.4249)
hm2tNDdgaFK,tensor(11.1010),tensor(1.9806)
HMJdXzbWKH,tensor(10.6737),tensor(1.7260)
HndgQudNb91,tensor(11.1286),tensor(1.7190)
hniLRD_XCA,tensor(10.0781),tensor(1.4562)
HObMhrCeAAF,tensor(10.3362),tensor(1.6442)
HOjLHrlZhmx,tensor(10.2421),tensor(1.9947)
hpBTIv2uy_E,tensor(10.2451),tensor(1.6796)
hqkhcFHOeKD,tensor(10.3454),tensor(1.8301)
hSktDu-h94,tensor(10.4071),tensor(1.9250)
Ht85_jyihxp,tensor(9.7766),tensor(1.4502)
HTp-6yLGGX,tensor(10.1430),tensor(1.8235)
HTVch9AMPa,tensor(10.5744),tensor(2.1442)
htWIlvDcY8,tensor(10.7933),tensor(1.8342)
HuaYQfggn5u,tensor(9.8513),tensor(1.8742)
hzmQ4wOnSb,tensor(10.5508),tensor(2.0209)
I2Hw58KHp8O,tensor(10.4456),tensor(1.6927)
i3RI65sR7N,tensor(9.9541),tensor(1.5599)
ibqTBNfJmi,tensor(9.8815),tensor(1.7453)
ibrUkC-pbis,tensor(10.2675),tensor(2.0343)
IcUWShptD7d,tensor(nan),tensor(nan)
IDwN6xjHnK8,tensor(10.7557),tensor(2.0367)
iEx3PiooLy,tensor(9.8681),tensor(1.4811)
IfNu7Dr-3fQ,tensor(nan),tensor(nan)
IK9ap6nxXr2,tensor(10.7142),tensor(2.2209)
iMqTLyfwnOO,tensor(10.7393),tensor(1.5683)
Iog0djAdbHj,tensor(9.9164),tensor(1.4753)
IpctgL7khPp,tensor(10.1392),tensor(1.9161)
iPHLcmtietq,tensor(10.9286),tensor(2.0301)
irARV_2VFs4,tensor(10.5768),tensor(1.6161)
ItkxLQU01lD,tensor(10.3214),tensor(1.7308)
iulEMLYh1uR,tensor(10.2711),tensor(1.9375)
iUuzzTMUw9K,tensor(10.0805),tensor(1.7014)
IvepFxYRDG,tensor(10.3772),tensor(2.0403)
ivQruZvXxtz,tensor(10.5322),tensor(1.6843)
Ix_mh42xq5w,tensor(10.3804),tensor(1.8596)
IYMuTbGzjFU,tensor(9.4321),tensor(1.3700)
izj68lUcBpt,tensor(10.5314),tensor(1.6476)
izvwgBic9q,tensor(10.3997),tensor(1.5285)
j-63FSNcO5a,tensor(9.7904),tensor(1.5982)
J1rhANsCY9,tensor(10.0700),tensor(1.6189)
j3krplz_4w6,tensor(10.0766),tensor(1.5720)
J7b4BCtDm4,tensor(10.2830),tensor(1.7661)
jaLDP8Hp_gc,tensor(10.3376),tensor(1.9792)
JBAZe2yN6Ub,tensor(10.3184),tensor(1.9971)
jbrgwbv8nD,tensor(10.5367),tensor(2.0647)
jeLW-Fh9bV,tensor(9.4445),tensor(1.3845)
JfaWawZ8BmX,tensor(10.3306),tensor(1.7624)
JJCjv4dAbyL,tensor(10.4690),tensor(1.4844)
Jjcv9MTqhcq,tensor(9.8173),tensor(1.6319)
jJOjjiZHy3h,tensor(10.6483),tensor(1.8627)
JJxiD-kg-oK,tensor(10.1262),tensor(1.7946)
JM2kFbJvvI,tensor(9.3364),tensor(1.5501)
JPkQwEdYn8,tensor(10.5713),tensor(1.7906)
js62_xuLDDv,tensor(10.2841),tensor(1.6833)
jT1EwXu-4hj,tensor(10.4836),tensor(2.0832)
JtBRnrlOEFN,tensor(10.4492),tensor(1.6161)
JxFgJbZ-wft,tensor(10.6992),tensor(1.5691)
JXhROKNZzOc,tensor(9.7536),tensor(1.5159)
JYtwGwIL7ye,tensor(10.4921),tensor(1.9964)
JzNB0eA2-M4,tensor(11.0675),tensor(1.7317)
J_2xNmVcY4,tensor(10.6652),tensor(1.9618)
J_F_qqCE3Z5,tensor(10.3195),tensor(1.5030)
J_PHjw4gvXJ,tensor(9.8943),tensor(1.5624)
K2JfSnLBD9,tensor(10.2693),tensor(2.2944)
k7-s5HSSPE5,tensor(9.9834),tensor(1.9950)
k7efTb0un9z,tensor(10.1545),tensor(1.7982)
k9bx1EfHI_-,tensor(10.6207),tensor(1.7974)
kAa9eDS0RdO,tensor(10.3980),tensor(1.8489)
kavTY__jxp,tensor(11.0331),tensor(1.8927)
KBQP4A_J1K,tensor(10.7451),tensor(1.6620)
kcwyXtt7yDJ,tensor(9.8473),tensor(1.7439)
Kef8cKdHWpP,tensor(10.0341),tensor(2.0465)
KeI9E-gsoB,tensor(10.2100),tensor(1.9509)
KEQl-MZ5fg7,tensor(9.4453),tensor(1.4724)
kezNJydWvE,tensor(9.9522),tensor(1.5381)
kF9DZQQrU0w,tensor(9.4114),tensor(1.3694)
kG0AtPi6JI1,tensor(10.1788),tensor(1.6959)
kj0_45Y4r9i,tensor(10.6373),tensor(1.7783)
KJggliHbs8,tensor(10.3272),tensor(1.5548)
KJztlfGPdwW,tensor(10.1874),tensor(1.8005)
KLaDXLAzzFT,tensor(10.3396),tensor(1.9371)
KmtVD97J43e,tensor(10.5002),tensor(1.6005)
